"Reference: M.-C. Lambert, C.-H. Ung, and F. Raulier 2005. Canadian national biomass equations. Can. J. For. Res 35: 1996-2018. ",,,,,,
"Reference: Ung, C.-H.; Bernier, P.; Guo, X.-J. 2008. Canadian national biomass equations: new parameter estimates that include British Columbia data. Can. J. For. Res 38:1123-2232.",,,,,,
,,,,,,
"Parameters for estimating biomass (Kg, Biomass_kg) at the tree scale from DBH (cm, D_cm)",,,,,,
Biomass_kg = a * (D_cm^b),,,,,,
,,,,,,
Species_en,Essence_fr,Component_en,Component_fr,a,b,Reference
Hop-Hornbeam,Ostryer de Virginie,Wood,Bois,0.1929,1.9672,Lambert 2005
Jack pine,Pin gris,Bark,Écorce,0.0184,2.0703,Lambert 2005
Jack pine,Pin gris,Branches,Branche,0.0079,2.4155,Lambert 2005
Jack pine,Pin gris,Foliage,Feuillage,0.0389,1.729,Lambert 2005
Jack pine,Pin gris,Wood,Bois,0.0804,2.4041,Lambert 2005
Largetooth aspen,Peuplier à grandes dents,Bark,Écorce,0.0308,2.224,Lambert 2005
Largetooth aspen,Peuplier à grandes dents,Branches,Branche,0.0047,2.653,Lambert 2005
Largetooth aspen,Peuplier à grandes dents,Foliage,Feuillage,0.008,2.0149,Lambert 2005
Largetooth aspen,Peuplier à grandes dents,Wood,Bois,0.0959,2.343,Lambert 2005
Lodgepole pine,Pin tordu latifolié,Bark,Écorce,0.0144,2.1768,Ung 2008
Lodgepole pine,Pin tordu latifolié,Branches,Branche,0.0209,2.1772,Ung 2008
Lodgepole pine,Pin tordu latifolié,Foliage,Feuillage,0.0584,1.6432,Ung 2008
Lodgepole pine,Pin tordu latifolié,Wood,Bois,0.0323,2.6825,Ung 2008
Pacific silver fir ,Sapin gracieux,Bark,Écorce,0.0057,2.4786,Ung 2008
Pacific silver fir ,Sapin gracieux,Branches,Branche,0.0322,2.1313,Ung 2008
Pacific silver fir ,Sapin gracieux,Foliage,Feuillage,0.0645,1.94,Ung 2008
Pacific silver fir ,Sapin gracieux,Wood,Bois,0.0424,2.4289,Ung 2008
Red alder and Black cottonwood,Aulne rouge et Peuplier de l'Ouest,Bark,Écorce,0.0074,2.4442,Ung 2008
Red alder and Black cottonwood,Aulne rouge et Peuplier de l'Ouest,Branches,Branche,0.0086,2.7326,Ung 2008
Red alder and Black cottonwood,Aulne rouge et Peuplier de l'Ouest,Foliage,Feuillage,0.0114,2.086,Ung 2008
Red alder and Black cottonwood,Aulne rouge et Peuplier de l'Ouest,Wood,Bois,0.046,2.4312,Ung 2008
Red ash,Frêne rouge,Bark,Écorce,0.0416,2.0509,Lambert 2005
Red ash,Frêne rouge,Branches,Branche,0.0177,2.337,Lambert 2005
Red ash,Frêne rouge,Foliage,Feuillage,0.1041,1.2185,Lambert 2005
Red ash,Frêne rouge,Wood,Bois,0.1571,2.1817,Lambert 2005
Red Maple,Érable rouge,Bark,Écorce,0.0291,2.0893,Lambert 2005
Red Maple,Érable rouge,Branches,Branche,0.0175,2.4846,Lambert 2005
Red Maple,Érable rouge,Foliage,Feuillage,0.0515,1.5198,Lambert 2005
Red Maple,Érable rouge,Wood,Bois,0.1014,2.3448,Lambert 2005
Red oak,Chêne rouge,Bark,Écorce,0.0381,2.0991,Lambert 2005
Red oak,Chêne rouge,Branches,Branche,0.0085,2.779,Lambert 2005
Red oak,Chêne rouge,Foliage,Feuillage,0.0373,1.674,Lambert 2005
Red oak,Chêne rouge,Wood,Bois,0.1754,2.1616,Lambert 2005
Red pine,Pin rouge,Bark,Écorce,0.0188,2.0527,Lambert 2005
Red pine,Pin rouge,Branches,Branche,0.0033,2.7515,Lambert 2005
Red pine,Pin rouge,Foliage,Feuillage,0.0212,2.069,Lambert 2005
Red pine,Pin rouge,Wood,Bois,0.0564,2.4465,Lambert 2005
Red spruce,Épinette rouge,Bark,Écorce,0.022,2.0908,Lambert 2005
Red spruce,Épinette rouge,Branches,Branche,0.0005,3.275,Lambert 2005
Red spruce,Épinette rouge,Foliage,Feuillage,0.0066,2.4213,Lambert 2005
Red spruce,Épinette rouge,Wood,Bois,0.0989,2.2814,Lambert 2005
Silver maple,Érable à grandes feuilles,Bark,Écorce,0.0278,2.0433,Lambert 2005
Silver maple,Érable à grandes feuilles,Branches,Branche,0.0028,3.102,Lambert 2005
Silver maple,Érable à grandes feuilles,Foliage,Feuillage,0.143,1.258,Lambert 2005
Silver maple,Érable à grandes feuilles,Wood,Bois,0.2324,2.1,Lambert 2005
Sitka spruce ,Épinette de Sitka,Bark,Écorce,0.0066,2.4433,Ung 2008
Sitka spruce ,Épinette de Sitka,Branches,Branche,0.0739,1.8342,Ung 2008
Sitka spruce ,Épinette de Sitka,Foliage,Feuillage,0.0157,2.3113,Ung 2008
Sitka spruce ,Épinette de Sitka,Wood,Bois,0.0302,2.5776,Ung 2008
Subalpine fir ,Sapin subalpin,Bark,Écorce,0.0061,2.5375,Ung 2008
Subalpine fir ,Sapin subalpin,Branches,Branche,0.0178,2.4255,Ung 2008
Subalpine fir ,Sapin subalpin,Foliage,Feuillage,0.0416,2.013,Ung 2008
Subalpine fir ,Sapin subalpin,Wood,Bois,0.025,2.6378,Ung 2008
Sugar maple,Érable à sucre,Bark,Écorce,0.0631,1.9241,Lambert 2005
Sugar maple,Érable à sucre,Branches,Branche,0.033,2.3741,Lambert 2005
Sugar maple,Érable à sucre,Foliage,Feuillage,0.0393,1.693,Lambert 2005
Sugar maple,Érable à sucre,Wood,Bois,0.1315,2.3129,Lambert 2005
Tamarack larch,Mélèze laricin,Bark,Écorce,0.0174,2.1109,Lambert 2005
Tamarack larch,Mélèze laricin,Branches,Branche,0.0196,2.2652,Lambert 2005
Tamarack larch,Mélèze laricin,Foliage,Feuillage,0.0801,1.4875,Lambert 2005
Tamarack larch,Mélèze laricin,Wood,Bois,0.0625,2.4475,Lambert 2005
Trembling aspen,Peuplier faux-tremble,Bark,Écorce,0.0159,2.4123,Ung 2008
Trembling aspen,Peuplier faux-tremble,Branches,Branche,0.0082,2.5139,Ung 2008
Trembling aspen,Peuplier faux-tremble,Foliage,Feuillage,0.0235,1.6656,Ung 2008
Trembling aspen,Peuplier faux-tremble,Wood,Bois,0.0608,2.4735,Ung 2008
Western hemlock ,Pruche de l'Ouest,Bark,Écorce,0.0025,2.8062,Ung 2008
Western hemlock ,Pruche de l'Ouest,Branches,Branche,0.0703,1.9547,Ung 2008
Western hemlock ,Pruche de l'Ouest,Foliage,Feuillage,0.1676,1.4339,Ung 2008
Western hemlock ,Pruche de l'Ouest,Wood,Bois,0.0141,2.8668,Ung 2008
Western red cedar,Thuya géant,Bark,Écorce,0.0003,3.2721,Ung 2008
Western red cedar,Thuya géant,Branches,Branche,0.1158,1.7196,Ung 2008
Western red cedar,Thuya géant,Foliage,Feuillage,0.1233,1.5152,Ung 2008
Western red cedar,Thuya géant,Wood,Bois,0.0111,2.8027,Ung 2008
White ash,Frêne blanc,Bark,Écorce,0.0406,1.9946,Lambert 2005
White ash,Frêne blanc,Branches,Branche,0.0461,2.2291,Lambert 2005
White ash,Frêne blanc,Foliage,Feuillage,0.1106,1.2277,Lambert 2005
White ash,Frêne blanc,Wood,Bois,0.1861,2.1665,Lambert 2005
White birch,Bouleau blanc,Bark,Écorce,0.014,2.3923,Ung 2008
White birch,Bouleau blanc,Branches,Branche,0.0147,2.5227,Ung 2008
White birch,Bouleau blanc,Foliage,Feuillage,0.0591,1.6036,Ung 2008
White birch,Bouleau blanc,Wood,Bois,0.0604,2.4959,Ung 2008
White elm,Orme blanc,Bark,Écorce,0.0073,2.4859,Lambert 2005
White elm,Orme blanc,Branches,Branche,0.0401,2.1826,Lambert 2005
White elm,Orme blanc,Foliage,Feuillage,0.075,1.3436,Lambert 2005
White elm,Orme blanc,Wood,Bois,0.0402,2.5804,Lambert 2005
White oak,Chêne blanc,Bark,Écorce,0.0338,1.9845,Lambert 2005
White oak,Chêne blanc,Branches,Branche,0.0113,2.6211,Lambert 2005
White oak,Chêne blanc,Foliage,Feuillage,0.0188,1.7881,Lambert 2005
White oak,Chêne blanc,Wood,Bois,0.0762,2.3335,Lambert 2005
White spruce,Épinette blanche,Bark,Écorce,0.0114,2.3057,Ung 2008
White spruce,Épinette blanche,Branches,Branche,0.0302,2.0927,Ung 2008
White spruce,Épinette blanche,Foliage,Feuillage,0.1515,1.5012,Ung 2008
White spruce,Épinette blanche,Wood,Bois,0.0334,2.598,Ung 2008
Yellow birch,Bouleau jaune,Bark,Écorce,0.0192,2.2475,Lambert 2005
Yellow birch,Bouleau jaune,Branches,Branche,0.0305,2.4044,Lambert 2005
Yellow birch,Bouleau jaune,Foliage,Feuillage,0.1119,1.3973,Lambert 2005
Yellow birch,Bouleau jaune,Wood,Bois,0.1932,2.1569,Lambert 2005
