"landtype","spp","poolID","DOMName","amountAtT0"
130,"QUER.RUB",7,"Slow_B",110
130,"QUER.RUB",8,"Sng_Stem",3
130,"QUER.RUB",9,"Sng_Oth",1
130,"QUER.RUB",10,"Extra",0
130,"THUJ.SPP.ALL",1,"VF_A",0
130,"THUJ.SPP.ALL",2,"VF_B",0
130,"THUJ.SPP.ALL",3,"Fast_A",15
130,"THUJ.SPP.ALL",4,"Fast_B",0
130,"THUJ.SPP.ALL",5,"MED",18
130,"THUJ.SPP.ALL",6,"Slow_A",377
130,"THUJ.SPP.ALL",7,"Slow_B",301
130,"THUJ.SPP.ALL",8,"Sng_Stem",8
130,"THUJ.SPP.ALL",9,"Sng_Oth",4
130,"THUJ.SPP.ALL",10,"Extra",0
130,"TSUG.CAN",1,"VF_A",0
130,"TSUG.CAN",2,"VF_B",0
130,"TSUG.CAN",3,"Fast_A",9
130,"TSUG.CAN",4,"Fast_B",0
130,"TSUG.CAN",5,"MED",11
130,"TSUG.CAN",6,"Slow_A",222
130,"TSUG.CAN",7,"Slow_B",177
130,"TSUG.CAN",8,"Sng_Stem",5
130,"TSUG.CAN",9,"Sng_Oth",2
130,"TSUG.CAN",10,"Extra",0
131,"ABIE.BAL",1,"VF_A",0
131,"ABIE.BAL",2,"VF_B",0
131,"ABIE.BAL",3,"Fast_A",14
131,"ABIE.BAL",4,"Fast_B",0
131,"ABIE.BAL",5,"MED",18
131,"ABIE.BAL",6,"Slow_A",367
131,"ABIE.BAL",7,"Slow_B",293
131,"ABIE.BAL",8,"Sng_Stem",8
131,"ABIE.BAL",9,"Sng_Oth",4
131,"ABIE.BAL",10,"Extra",0
131,"ACER.RUB",1,"VF_A",0
131,"ACER.RUB",2,"VF_B",0
131,"ACER.RUB",3,"Fast_A",8
131,"ACER.RUB",4,"Fast_B",0
131,"ACER.RUB",5,"MED",10
131,"ACER.RUB",6,"Slow_A",197
131,"ACER.RUB",7,"Slow_B",158
131,"ACER.RUB",8,"Sng_Stem",4
131,"ACER.RUB",9,"Sng_Oth",2
131,"ACER.RUB",10,"Extra",0
131,"ACER.SAH",1,"VF_A",0
131,"ACER.SAH",2,"VF_B",0
131,"ACER.SAH",3,"Fast_A",14
131,"ACER.SAH",4,"Fast_B",0
131,"ACER.SAH",5,"MED",17
131,"ACER.SAH",6,"Slow_A",355
131,"ACER.SAH",7,"Slow_B",284
131,"ACER.SAH",8,"Sng_Stem",8
131,"ACER.SAH",9,"Sng_Oth",4
131,"ACER.SAH",10,"Extra",0
131,"BETU.ALL",1,"VF_A",0
131,"BETU.ALL",2,"VF_B",0
131,"BETU.ALL",3,"Fast_A",42
131,"BETU.ALL",4,"Fast_B",0
131,"BETU.ALL",5,"MED",52
131,"BETU.ALL",6,"Slow_A",1076
131,"BETU.ALL",7,"Slow_B",860
131,"BETU.ALL",8,"Sng_Stem",23
131,"BETU.ALL",9,"Sng_Oth",11
131,"BETU.ALL",10,"Extra",0
131,"BETU.PAP",1,"VF_A",0
131,"BETU.PAP",2,"VF_B",0
131,"BETU.PAP",3,"Fast_A",1
131,"BETU.PAP",4,"Fast_B",0
131,"BETU.PAP",5,"MED",1
131,"BETU.PAP",6,"Slow_A",13
